Column1,Column2,Column3,Column4,Column5
0,0,32735,32894,32172
1,0,32890,32859,32114
2,0,32790,32511,33095
3,0,32645,32317,33423
4,0,32852,32478,33618
5,0,32861,32396,33255
6,0,32813,31879,32050
7,0,32797,31943,32389
8,0,32749,32299,32911
9,0,32828,32583,32826
10,0,32893,32615,33053
11,0,32729,32462,34237
12,0,32636,32439,34227
13,0,32692,33103,33375
14,0,32733,33341,32845
15,0,32722,33155,32631
16,0,32709,32659,32549
17,0,32741,32607,32687
18,0,32745,32893,32775
19,0,32860,32599,32879
20,0,32806,32571,32843
21,0,32872,32765,32749
22,0,32846,32559,32803
23,0,32753,32767,33009
24,0,32703,32983,32759
25,0,32728,32863,32636
26,0,32741,32790,32659
27,0,32829,32476,32470
28,0,32814,32519,32662
29,0,32910,32743,32855
30,0,32868,32663,33533
31,0,32667,32495,33241
32,0,32716,32407,32231
33,0,32736,32577,32398
34,0,32841,33127,32775
35,0,32848,32709,32405
36,0,32727,32223,33159
37,0,32746,32411,32559
38,0,32752,32303,32423
39,0,32708,32263,32891
40,0,32832,32711,33373
41,0,32711,32783,34527
42,0,32742,33167,33949
43,0,32740,33597,33448
45,0,32741,33407,32976
46,0,32861,32873,32605
47,0,32812,32111,33205
48,0,32696,32183,32539
49,0,32724,32579,31979
50,0,32669,32669,32071
51,0,32625,32621,31843
52,0,32720,32575,33235
53,0,32751,32519,33959
54,0,32820,32365,33046
55,0,32901,32555,32634
56,0,32888,32764,32263
57,0,32902,32759,31687
58,0,32829,32367,31962
59,0,32798,32427,31606
60,0,32786,32375,31854
61,0,32943,32570,32154
62,0,32869,32951,32881
63,0,32718,33647,33199
64,0,32821,33444,34475
65,0,32662,32871,34866
66,0,32576,32411,33831
67,0,32614,32583,33399
68,0,32719,32762,32731
69,0,32736,32615,32591
70,0,32736,32901,32962
71,0,32808,32631,33063
72,0,32799,32699,32094
73,0,32920,32727,32114
74,0,32852,32367,32142
75,0,32838,32171,32455
76,0,32896,32086,32469
77,0,32868,32365,32883
78,0,32733,32398,32903
79,0,32738,32447,32671
80,0,32669,32493,32031
81,0,32768,32827,31537
82,0,32713,32934,32285
83,0,32692,33700,33339
84,0,32750,33611,33295
85,0,32764,33199,33647
86,0,32620,32303,33466
87,0,32636,32667,32804
88,0,32785,32707,32523
89,0,32828,32291,32775
90,0,32805,32001,32935
91,0,32826,32385,33029
92,0,32644,32711,33835
93,0,32809,32455,32985
94,0,32915,32287,32477
95,0,32825,32615,32702
96,0,32740,32695,32679
97,0,32798,32667,32115
98,0,32795,32461,32771
99,0,32817,33215,33257
100,0,32822,32935,31982
