channel1,channel2,channel3
32735,32894,32172
32890,32859,32114
32790,32511,33095
32645,32317,33423
32852,32478,33618
32861,32396,33255
32813,31879,32050
32797,31943,32389
32749,32299,32911
32828,32583,32826
32893,32615,33053
32729,32462,34237
32636,32439,34227
32692,33103,33375
32733,33341,32845
32722,33155,32631
32709,32659,32549
32741,32607,32687
32745,32893,32775
32860,32599,32879
32806,32571,32843
32872,32765,32749
32846,32559,32803
32753,32767,33009
32703,32983,32759
32728,32863,32636
32741,32790,32659
32829,32476,32470
32814,32519,32662
32910,32743,32855
32868,32663,33533
32667,32495,33241
32716,32407,32231
32736,32577,32398
32841,33127,32775
32848,32709,32405
32727,32223,33159
32746,32411,32559
32752,32303,32423
32708,32263,32891
32832,32711,33373
32711,32783,34527
32742,33167,33949
32740,33597,33448
32741,33407,32976
32861,32873,32605
32812,32111,33205
32696,32183,32539
32724,32579,31979
32669,32669,32071
32625,32621,31843
32720,32575,33235
32751,32519,33959
32820,32365,33046
32901,32555,32634
32888,32764,32263
32902,32759,31687
32829,32367,31962
32798,32427,31606
32786,32375,31854
32943,32570,32154
32869,32951,32881
32718,33647,33199
32821,33444,34475
32662,32871,34866
32576,32411,33831
32614,32583,33399
32719,32762,32731
32736,32615,32591
32736,32901,32962
32808,32631,33063
32799,32699,32094
32920,32727,32114
32852,32367,32142
32838,32171,32455
32896,32086,32469
32868,32365,32883
32733,32398,32903
32738,32447,32671
32669,32493,32031
32768,32827,31537
32713,32934,32285
32692,33700,33339
32750,33611,33295
32764,33199,33647
32620,32303,33466
32636,32667,32804
32785,32707,32523
32828,32291,32775
32805,32001,32935
32826,32385,33029
32644,32711,33835
32809,32455,32985
32915,32287,32477
32825,32615,32702
32740,32695,32679
32798,32667,32115
32795,32461,32771
32817,33215,33257
32822,32935,31982
